muertra 1;1mol;muestra 2;2mol;muestra 3;5mol;;6mol;;8mol;incognita;
lambda_1;abs_1;lambda_2;abs_2;lambda_5;abs_5;lambda_6;abs_6;lambda_8;abs_8;lambda_i;abs_i
391.75049;0.076;391.75049;0.14805;391.75049;0.31412;391.75049;0.37703;391.75049;0.48102;391.75049;0.27585
392.21143;0.07048;392.21143;0.14113;392.21143;0.31834;392.21143;0.37976;392.21143;0.49;392.21143;0.27801
392.67239;0.07057;392.67239;0.14577;392.67239;0.32285;392.67239;0.39021;392.67239;0.49022;392.67239;0.27804
393.13338;0.07442;393.13338;0.14848;393.13338;0.32491;393.13338;0.39597;393.13338;0.49572;393.13338;0.28573
393.5944;0.07408;393.5944;0.1483;393.5944;0.33452;393.5944;0.40679;393.5944;0.51804;393.5944;0.29057
394.05545;0.07839;394.05545;0.15041;394.05545;0.3447;394.05545;0.42101;394.05545;0.53664;394.05545;0.29444
394.51653;0.07649;394.51653;0.15051;394.51653;0.34581;394.51653;0.41607;394.51653;0.52463;394.51653;0.29537
394.97763;0.0764;394.97763;0.15813;394.97763;0.35361;394.97763;0.42894;394.97763;0.54368;394.97763;0.30578
395.43876;0.07826;395.43876;0.16135;395.43876;0.3545;395.43876;0.42795;395.43876;0.54511;395.43876;0.30968
395.89992;0.08108;395.89992;0.15737;395.89992;0.35743;395.89992;0.42942;395.89992;0.56028;395.89992;0.30994
396.36111;0.07866;396.36111;0.15738;396.36111;0.35429;396.36111;0.43075;396.36111;0.54353;396.36111;0.29909
396.82232;0.07998;396.82232;0.15654;396.82232;0.35268;396.82232;0.42899;396.82232;0.53767;396.82232;0.3028
397.28356;0.08094;397.28356;0.1582;397.28356;0.35676;397.28356;0.42793;397.28356;0.53691;397.28356;0.30337
397.74484;0.07876;397.74484;0.15955;397.74484;0.35754;397.74484;0.42207;397.74484;0.54005;397.74484;0.30792
398.20613;0.08124;398.20613;0.15865;398.20613;0.35743;398.20613;0.42701;398.20613;0.55235;398.20613;0.31051
398.66746;0.0804;398.66746;0.15765;398.66746;0.35797;398.66746;0.43999;398.66746;0.57097;398.66746;0.31206
399.12882;0.08346;399.12882;0.16042;399.12882;0.36314;399.12882;0.44232;399.12882;0.56229;399.12882;0.31656
399.5902;0.08348;399.5902;0.16647;399.5902;0.36819;399.5902;0.44544;399.5902;0.56215;399.5902;0.32587
400.05161;0.08109;400.05161;0.16195;400.05161;0.36895;400.05161;0.44861;400.05161;0.57181;400.05161;0.32711
400.51305;0.08303;400.51305;0.16612;400.51305;0.37523;400.51305;0.45461;400.51305;0.59406;400.51305;0.32043
400.97452;0.08306;400.97452;0.16579;400.97452;0.38276;400.97452;0.46169;400.97452;0.58799;400.97452;0.32674
401.43601;0.08733;401.43601;0.17063;401.43601;0.39005;401.43601;0.46254;401.43601;0.58863;401.43601;0.33304
401.89754;0.08692;401.89754;0.1769;401.89754;0.39763;401.89754;0.47929;401.89754;0.60969;401.89754;0.33862
402.35909;0.08703;402.35909;0.17345;402.35909;0.38993;402.35909;0.47301;402.35909;0.62069;402.35909;0.33883
402.82067;0.08712;402.82067;0.17669;402.82067;0.40452;402.82067;0.48387;402.82067;0.6213;402.82067;0.33708
403.28228;0.08742;403.28228;0.17694;403.28228;0.40766;403.28228;0.49086;403.28228;0.63908;403.28228;0.34816
403.74392;0.08685;403.74392;0.17713;403.74392;0.40865;403.74392;0.49306;403.74392;0.62771;403.74392;0.34839
404.20559;0.09159;404.20559;0.18246;404.20559;0.41275;404.20559;0.49819;404.20559;0.64605;404.20559;0.35397
404.66728;0.09431;404.66728;0.18365;404.66728;0.42422;404.66728;0.50744;404.66728;0.65667;404.66728;0.3588
405.129;0.09195;405.129;0.1825;405.129;0.41919;405.129;0.50435;405.129;0.64574;405.129;0.35668
405.59076;0.09173;405.59076;0.18237;405.59076;0.42052;405.59076;0.50475;405.59076;0.65344;405.59076;0.36257
406.05254;0.09057;406.05254;0.18317;406.05254;0.42303;406.05254;0.50643;406.05254;0.65782;406.05254;0.36283
406.51434;0.09226;406.51434;0.18522;406.51434;0.42285;406.51434;0.50614;406.51434;0.66246;406.51434;0.36161
406.97618;0.09352;406.97618;0.18332;406.97618;0.42138;406.97618;0.50883;406.97618;0.65849;406.97618;0.36204
407.43805;0.09296;407.43805;0.18337;407.43805;0.42544;407.43805;0.5088;407.43805;0.66074;407.43805;0.36025
407.89994;0.09268;407.89994;0.18752;407.89994;0.42409;407.89994;0.51851;407.89994;0.65346;407.89994;0.36513
408.36187;0.0909;408.36187;0.18683;408.36187;0.42632;408.36187;0.50872;408.36187;0.66558;408.36187;0.36155
408.82382;0.09277;408.82382;0.18648;408.82382;0.43581;408.82382;0.51521;408.82382;0.66936;408.82382;0.36795
409.2858;0.09426;409.2858;0.18929;409.2858;0.43284;409.2858;0.51531;409.2858;0.66101;409.2858;0.36621
409.74781;0.09607;409.74781;0.19073;409.74781;0.43531;409.74781;0.52818;409.74781;0.67297;409.74781;0.36907
410.20985;0.09294;410.20985;0.18962;410.20985;0.43483;410.20985;0.52612;410.20985;0.67698;410.20985;0.37376
410.67192;0.09689;410.67192;0.19557;410.67192;0.44576;410.67192;0.52782;410.67192;0.68621;410.67192;0.37447
411.13402;0.09662;411.13402;0.19321;411.13402;0.4363;411.13402;0.53221;411.13402;0.68463;411.13402;0.37552
411.59614;0.09756;411.59614;0.19712;411.59614;0.45211;411.59614;0.54522;411.59614;0.69396;411.59614;0.38556
412.0583;0.09679;412.0583;0.19809;412.0583;0.45583;412.0583;0.55105;412.0583;0.70867;412.0583;0.38971
412.52048;0.09617;412.52048;0.198;412.52048;0.45807;412.52048;0.54823;412.52048;0.71277;412.52048;0.38957
412.9827;0.10063;412.9827;0.20204;412.9827;0.46767;412.9827;0.561;412.9827;0.73227;412.9827;0.39855
413.44494;0.10164;413.44494;0.20152;413.44494;0.46699;413.44494;0.566;413.44494;0.73298;413.44494;0.39818
413.90721;0.10179;413.90721;0.20191;413.90721;0.47275;413.90721;0.57271;413.90721;0.73988;413.90721;0.39918
414.36951;0.10146;414.36951;0.20561;414.36951;0.47336;414.36951;0.57141;414.36951;0.73836;414.36951;0.40019
414.83184;0.10167;414.83184;0.20414;414.83184;0.47251;414.83184;0.57261;414.83184;0.74397;414.83184;0.4019
415.2942;0.10419;415.2942;0.20645;415.2942;0.47983;415.2942;0.58373;415.2942;0.75316;415.2942;0.4094
415.75659;0.10504;415.75659;0.20635;415.75659;0.47936;415.75659;0.58575;415.75659;0.75668;415.75659;0.40621
416.21901;0.10228;416.21901;0.20646;416.21901;0.48359;416.21901;0.57852;416.21901;0.74701;416.21901;0.40544
416.68145;0.10314;416.68145;0.20805;416.68145;0.48224;416.68145;0.58451;416.68145;0.75591;416.68145;0.41158
417.14393;0.10183;417.14393;0.20819;417.14393;0.47887;417.14393;0.57691;417.14393;0.75391;417.14393;0.40698
417.60644;0.10671;417.60644;0.20799;417.60644;0.48199;417.60644;0.58945;417.60644;0.76325;417.60644;0.40948
418.06897;0.10157;418.06897;0.20553;418.06897;0.48151;418.06897;0.58149;418.06897;0.75867;418.06897;0.40412
418.53154;0.10349;418.53154;0.21134;418.53154;0.48384;418.53154;0.58013;418.53154;0.75587;418.53154;0.40985
418.99413;0.10415;418.99413;0.20873;418.99413;0.48421;418.99413;0.58159;418.99413;0.7523;418.99413;0.41134
